Shah_contrast.1,Shah_contrast.2,Shah_contrast.3,Shah_contrast.4,Shah_contrast.5,Shah_contrast.6,Shah_contrast.7,Shah_contrast.8,Shah_contrast.9,Shah_contrast.10,Shah_contrast.11,Shah_contrast.12,Shah_contrast.13,Shah_contrast.14,Shah_contrast.15,Shah_contrast.16,Shah_contrast.17,Shah_contrast.18
Cox5a,Narf,Rpl13,Rab5b,Pdgfb,Gpr107,Gmpr,Brat1,Ccnd2,Armc6,Galnt1,Scpep1,Acap1,Cnnm3,Arpp19,Ube2c,Itgb7,NA
Mcts1,Xpo6,Rmnd5b,Fmr1,Acvrl1,Clec2g,Hddc2,Raf1,Cd52,Flii,Ell2,Gm2a,Sec14l2,Cd320,Tvp23b,Ggct,Man1a,NA
Ccl3,Itgb2l,Nhp2,Pcnt,Abhd15,Clec10a,Cdh1,Tom1l2,Pfdn5,Mast2,Ubl3,Dnmt3l,Slc1a3,Aven,Rxrg,Ercc1,Chn2,NA
Ift20,Cdh4,Tubb5,Nom1,Mmp14,Sp1,Pparg,Tubgcp3,Trappc6a,Tbl2,Sipa1l2,Kpnb1,Rfx5,Epor,Plxdc1,Ifi35,Adam19,NA
Uxt,Hk2,Ddx18,Ap4e1,Mapk7,Ap1m2,Kcnn3,Nacc1,Med25,Smpd4,Rmnd5a,Hsf2bp,Tnr,Slc44a4,Pnpla5,Prpsap1,Csf1,NA
Acp5,Myo18a,Nfix,Hltf,Cfp,Angptl2,Pxmp4,Tsc2,Pafah1b3,Hipk1,Glg1,Acp2,Il12rb2,Ift43,Sgk1,Dbndd2,Abca1,NA
Fbxo9,Hip1r,Fam50a,Ranbp2,Ckb,Eif2ak4,Lsr,Axl,Trim28,Ewsr1,Hfe,Psap,Pdk4,Ppp2cb,Ltc4s,Pcgf2,Sdc4,NA
Zmat2,Heatr6,Ndufa11,Msh6,Rapsn,Zfp287,Abhd3,Il17ra,Ndufa2,Ubp1,Tle1,Adgre1,Tc2n,Pam16,Xbp1,Mtrf1l,Uhrf1bp1l,NA
Ifrd1,Zfp276,Use1,Ctr9,Clptm1,Adcy9,Snrpd1,Ap2a2,Rnf166,Evi5l,Bnip2,Mcm5,Eci3,Camta1,Krt19,Taf15,Lats2,NA
Akr1b3,Mcm3ap,Mien1,Eif4g2,Apoe,Apc,Rpl3l,Kif20a,Endog,Cad,Eps8,Tnpo1,Golm1,Mafk,Plcd3,Tcam1,Mefv,NA
